fare_type,fare_condition_type,price,start_zone,mid_zone,end_zone,start_time,end_time
regular,nonpeak,13.25,42,,1,,
regular,nonpeak,15.5,51,,1,,
regular,nonpeak,9.5,11,,12,,
regular,nonpeak,3,2,,12,,
regular,nonpeak,13.75,11,,13,,
regular,nonpeak,4.25,2,,13,,
regular,nonpeak,3,12,,13,,
regular,nonpeak,11.25,11,,14,,
regular,nonpeak,5,2,,14,,
regular,nonpeak,4,12,,14,,
regular,nonpeak,3.75,13,,14,,
regular,nonpeak,11.25,11,,15,,
regular,nonpeak,5,2,,15,,
regular,nonpeak,4.75,12,,15,,
regular,nonpeak,3.75,13,,15,,
regular,nonpeak,3.5,14,,15,,
regular,nonpeak,12.5,11,,16,,
regular,nonpeak,6,2,,16,,
regular,nonpeak,6,12,,16,,
regular,nonpeak,5,13,,16,,
regular,nonpeak,4.75,14,,16,,
regular,nonpeak,2.75,15,,16,,
regular,nonpeak,13.5,11,,17,,
regular,nonpeak,7,2,,17,,
regular,nonpeak,7,12,,17,,
regular,nonpeak,6,13,,17,,
regular,nonpeak,5.35,14,,17,,
regular,nonpeak,3.5,15,,17,,
regular,nonpeak,2.75,16,,17,,
regular,nonpeak,14.5,11,,18,,
regular,nonpeak,8.5,2,,18,,
regular,nonpeak,8.5,12,,18,,
regular,nonpeak,7.25,13,,18,,
regular,nonpeak,7,14,,18,,
regular,nonpeak,4.5,15,,18,,
regular,nonpeak,2.75,16,,18,,
regular,nonpeak,2.75,17,,18,,
regular,nonpeak,15.75,11,,19,,
regular,nonpeak,10.25,2,,19,,
regular,nonpeak,10.25,12,,19,,
regular,nonpeak,9,13,,19,,
regular,nonpeak,8.25,14,,19,,
regular,nonpeak,6,15,,19,,
regular,nonpeak,4.5,16,,19,,
regular,nonpeak,3.75,17,,19,,
regular,nonpeak,2.75,18,,19,,
regular,nonpeak,16.75,11,,20,,
regular,nonpeak,11.5,2,,20,,
regular,nonpeak,11.5,12,,20,,
regular,nonpeak,10.25,13,,20,,
regular,nonpeak,9.5,14,,20,,
regular,nonpeak,7.25,15,,20,,
regular,nonpeak,5.75,16,,20,,
regular,nonpeak,4.5,17,,20,,
regular,nonpeak,3.5,18,,20,,
regular,nonpeak,2.75,19,,20,,
regular,nonpeak,18.75,11,,21,,
regular,nonpeak,14,2,,21,,
regular,nonpeak,14,12,,21,,
regular,nonpeak,12.75,13,,21,,
regular,nonpeak,12,14,,21,,
regular,nonpeak,9.75,15,,21,,
regular,nonpeak,8.25,16,,21,,
regular,nonpeak,7,17,,21,,
regular,nonpeak,5.5,18,,21,,
regular,nonpeak,3.75,19,,21,,
regular,nonpeak,3.5,20,,21,,
regular,nonpeak,12.5,11,,31,,
regular,nonpeak,6,2,,31,,
regular,nonpeak,6,12,,31,,
